referenceid,endpoint,resolverid,displaycolor
pickcrafter,https://pickcrafter.gamepedia.com/api.php,generic,"!random"
onehouronelife,https://onehouronelife.gamepedia.com/api.php,generic,"!random"
vg-esports,https://vg-esports.gamepedia.com/api.php,generic,"!random"
sunlesssea,https://sunlesssea.gamepedia.com/api.php,generic,"!random"
fortheking,https://fortheking.gamepedia.com/api.php,generic,"!random"
letitdie,https://letitdie.gamepedia.com/api.php,generic,"!random"
mwo,https://mwo.gamepedia.com/api.php,generic,"!random"
darkandlight,https://darkandlight.gamepedia.com/api.php,generic,"!random"
terrabattle2,https://terrabattle2.gamepedia.com/api.php,generic,"!random"
survivedby,https://survivedby.gamepedia.com/api.php,generic,"!random"
dauntless,https://dauntless.gamepedia.com/api.php,generic,"!random"
savagelands,https://savagelands.gamepedia.com/api.php,generic,"!random"
firefall,https://firefall.gamepedia.com/api.php,generic,"!random"
siege-esports,https://siege-esports.gamepedia.com/api.php,generic,"!random"
darkestdungeon,https://darkestdungeon.gamepedia.com/api.php,generic,"!random"
sunlessskies,https://sunlessskies.gamepedia.com/api.php,generic,"!random"
legendsofaria,https://legendsofaria.gamepedia.com/api.php,generic,"!random"
lastepoch,https://lastepoch.gamepedia.com/api.php,generic,"!random"
oxygennotincluded,https://oxygennotincluded.gamepedia.com/api.php,generic,"!random"
collective,https://collective.gamepedia.com/api.php,generic,"!random"
sengokuasukazero,https://sengokuasukazero.gamepedia.com/api.php,generic,"!random"
vermintide2,https://vermintide2.gamepedia.com/api.php,generic,"!random"
infestation,https://infestation.gamepedia.com/api.php,generic,"!random"
pixelstarships,https://pixelstarships.gamepedia.com/api.php,generic,"!random"
fifa-esports,https://fifa-esports.gamepedia.com/api.php,generic,"!random"
crosscode,https://crosscode.gamepedia.com/api.php,generic,"!random"
l5r,https://l5r.gamepedia.com/api.php,generic,"!random"
wikisandbox,https://wikisandbox.gamepedia.com/api.php,generic,"!random"
towns,https://towns.gamepedia.com/api.php,generic,"!random"
farcry5,https://farcry5.gamepedia.com/api.php,generic,"!random"
indiecade,https://indiecade.gamepedia.com/api.php,generic,"!random"
enterthegungeon,https://enterthegungeon.gamepedia.com/api.php,generic,"!random"
infinityblade,https://infinityblade.gamepedia.com/api.php,generic,"!random"
gears-esports,https://gears-esports.gamepedia.com/api.php,generic,"!random"
scum,https://scum.gamepedia.com/api.php,generic,"!random"
risen,https://risen.gamepedia.com/api.php,generic,"!random"
shadowsofabaddon,https://shadowsofabaddon.gamepedia.com/api.php,generic,"!random"
artifact,https://artifact.gamepedia.com/api.php,generic,"!random"
galciv3,https://galciv3.gamepedia.com/api.php,generic,"!random"
graveyardkeeper,https://graveyardkeeper.gamepedia.com/api.php,generic,"!random"
gwent,https://gwent.gamepedia.com/api.php,generic,"!random"
primeworld,https://primeworld.gamepedia.com/api.php,generic,"!random"
watchdogs,https://watchdogs.gamepedia.com/api.php,generic,"!random"
shadowrun,https://shadowrun.gamepedia.com/api.php,generic,"!random"
planetexplorers,https://planetexplorers.gamepedia.com/api.php,generic,"!random"
dungeonmaker,https://dungeonmaker.gamepedia.com/api.php,generic,"!random"
apexlegends,https://apexlegends.gamepedia.com/api.php,generic,"!random"
mocreatures,https://mocreatures.gamepedia.com/api.php,generic,"!random"
numenera,https://numenera.gamepedia.com/api.php,generic,"!random"
crashlands,https://crashlands.gamepedia.com/api.php,generic,"!random"
rust,https://rust.gamepedia.com/api.php,generic,"!random"
divinity,https://divinity.gamepedia.com/api.php,generic,"!random"
hextcg,https://hextcg.gamepedia.com/api.php,generic,"!random"
ylands,https://ylands.gamepedia.com/api.php,generic,"!random"
dotarena,https://dotarena.gamepedia.com/api.php,generic,"!random"
eco,https://eco.gamepedia.com/api.php,generic,"!random"
faeria,https://faeria.gamepedia.com/api.php,generic,"!random"
paladins-esports,https://paladins-esports.gamepedia.com/api.php,generic,"!random"
antihero,https://antihero.gamepedia.com/api.php,generic,"!random"
aeon,https://aeon.gamepedia.com/api.php,generic,"!random"
stash,https://stash.gamepedia.com/api.php,generic,"!random"
pathfinderkingmaker,https://pathfinderkingmaker.gamepedia.com/api.php,generic,"!random"
